date,InstrumentTelemetry.mean_H1,InstrumentTelemetry.mean_S1,InstrumentTelemetry.mean_T1,InstrumentTelemetry.mean_T2
8/7/2018 7:51:46.000000000 AM,1.08,-120.02,-120.14,27.81857142857143
8/7/2018 8:04:44.000000000 AM,1.08,-120.02,-120.14,29.513333333333332
8/7/2018 8:17:42.000000000 AM,1.0671428571428572,-120.02,-120.12285714285714,30.254285714285714
8/7/2018 8:30:40.000000000 AM,1.0050000000000001,-120.02,-120.04,31.355
8/7/2018 8:43:38.000000000 AM,1.0414285714285716,-120.02,-120.08857142857143,32.84142857142857
8/7/2018 8:56:36.000000000 AM,1.0050000000000001,-120.02,-120.04,31.61
8/7/2018 9:09:34.000000000 AM,0.9900000000000001,-120.02,-120.02,31.07857142857143
8/7/2018 9:22:32.000000000 AM,0.9900000000000001,-120.02,-120.02,32.373333333333335
8/7/2018 9:35:30.000000000 AM,0.9900000000000001,-120.02,-120.02,32.17
8/7/2018 9:48:28.000000000 AM,0.9900000000000001,-120.02,-120.02,31.963333333333335
8/7/2018 10:01:26.000000000 AM,0.9171428571428573,-120.02,-120.02,33.06142857142857
8/7/2018 10:14:24.000000000 AM,0.8866666666666667,-120.02,-120.12,34.15833333333333
8/7/2018 10:27:22.000000000 AM,0.8657142857142858,-120.02,-120.08857142857143,34.59142857142857
8/7/2018 10:40:20.000000000 AM,0.8466666666666667,-120.02,-120.06,35.62833333333334
8/7/2018 10:53:18.000000000 AM,0.8542857142857143,-120.02,-120.07142857142857,35.65
8/7/2018 11:06:16.000000000 AM,0.82,-120.02,-120.02,34.49333333333333
8/7/2018 11:19:14.000000000 AM,0.8200000000000001,-120.02,-120.02,33.18
8/7/2018 11:32:12.000000000 AM,0.82,-120.02,-120.02,33.98166666666666
8/7/2018 11:45:10.000000000 AM,0.77,-120.02,-120.02,34.355
8/7/2018 11:58:08.000000000 AM,0.7271428571428571,-120.02,-120.10571428571428,35.26285714285715
8/7/2018 12:11:06.000000000 PM,0.7233333333333333,-120.02,-120.10000000000001,36.07833333333333
8/7/2018 12:24:04.000000000 PM,0.7385714285714285,-120.02,-120.12285714285714,34.45428571428572
8/7/2018 12:37:02.000000000 PM,0.71,-120.02,-120.08,32.785000000000004
8/7/2018 12:50:00.000000000 PM,0.7157142857142856,-120.02,-120.08857142857143,32.94428571428572
8/7/2018 1:02:58.000000000 PM,0.71,-120.02,-120.08,32.748333333333335
8/7/2018 1:15:56.000000000 PM,0.7042857142857143,-120.02,-120.07142857142857,32.62428571428571
8/7/2018 1:28:54.000000000 PM,0.71,-120.02,-120.08,32.413333333333334
8/7/2018 1:41:52.000000000 PM,0.7271428571428571,-120.02,-120.10571428571428,31.784285714285716
